"order_item_id","order_id","product_id","quantity","price","create_time"
"1","1","7","2","59.00","2023-09-05 00:00:00"
"2","1","20","4","129.00","2023-09-04 00:00:00"
"3","1","13","2","6999.00","2023-09-05 00:00:00"
"4","1","17","2","2999.00","2023-09-05 00:00:00"
"5","2","30","4","59.00","2023-03-31 00:00:00"
"6","2","29","4","19.00","2023-04-02 00:00:00"
"7","2","27","5","69.00","2023-03-31 00:00:00"
"8","2","20","5","129.00","2023-04-01 00:00:00"
"9","2","14","3","499.00","2023-04-02 00:00:00"
"10","3","24","1","19.00","2023-08-21 00:00:00"
"11","3","21","4","99.00","2023-08-19 00:00:00"
"12","3","4","1","69.00","2023-08-19 00:00:00"
"13","3","6","4","349.00","2023-08-19 00:00:00"
"14","3","15","2","699.00","2023-08-19 00:00:00"
"15","4","2","1","60.00","2023-09-14 00:00:00"
"16","4","8","4","7999.00","2023-09-16 00:00:00"
"17","4","12","5","5999.00","2023-09-15 00:00:00"
"18","4","1","3","81.00","2023-09-15 00:00:00"
"19","5","7","4","59.00","2023-01-12 00:00:00"
"20","5","28","5","19.00","2023-01-12 00:00:00"
"21","5","14","5","499.00","2023-01-13 00:00:00"
"22","6","25","3","29.00","2023-10-16 00:00:00"
"23","6","8","5","7999.00","2023-10-18 00:00:00"
"24","7","23","4","159.00","2023-05-31 00:00:00"
"25","7","27","3","69.00","2023-05-29 00:00:00"
"26","8","24","5","19.00","2023-01-30 00:00:00"
"27","8","10","5","8999.00","2023-01-31 00:00:00"
"28","9","16","1","3999.00","2023-04-08 00:00:00"
"29","9","11","2","699.00","2023-04-09 00:00:00"
"30","10","15","5","699.00","2023-09-13 00:00:00"
"31","10","9","4","8999.00","2023-09-11 00:00:00"
"32","11","6","1","349.00","2023-12-25 00:00:00"
"33","11","26","3","49.00","2023-12-25 00:00:00"
"34","11","30","2","59.00","2023-12-25 00:00:00"
"35","12","12","1","5999.00","2023-12-30 00:00:00"
"36","12","26","3","49.00","2023-12-31 00:00:00"
"37","12","21","2","99.00","2024-01-01 00:00:00"
"38","12","2","4","60.00","2023-12-30 00:00:00"
"39","12","12","2","5999.00","2024-01-01 00:00:00"
"40","13","15","4","699.00","2023-01-07 00:00:00"
"41","13","22","4","129.00","2023-01-08 00:00:00"
"42","13","23","4","159.00","2023-01-08 00:00:00"
"43","14","19","3","799.00","2023-04-13 00:00:00"
"44","14","22","4","129.00","2023-04-13 00:00:00"
"45","14","7","3","59.00","2023-04-14 00:00:00"
"46","15","10","4","8999.00","2023-07-25 00:00:00"
"47","15","29","3","19.00","2023-07-24 00:00:00"
"48","15","30","4","59.00","2023-07-25 00:00:00"
"49","15","10","1","8999.00","2023-07-24 00:00:00"
"50","15","24","2","19.00","2023-07-23 00:00:00"
"51","16","30","5","59.00","2023-06-27 00:00:00"
"52","16","8","1","7999.00","2023-06-29 00:00:00"
"53","16","4","2","69.00","2023-06-27 00:00:00"
"54","17","14","3","499.00","2023-04-03 00:00:00"
"55","17","19","4","799.00","2023-04-04 00:00:00"
"56","17","28","1","19.00","2023-04-04 00:00:00"
"57","17","28","4","19.00","2023-04-03 00:00:00"
"58","17","13","5","6999.00","2023-04-04 00:00:00"
"59","18","26","1","49.00","2023-11-08 00:00:00"
"60","18","15","2","699.00","2023-11-08 00:00:00"
"61","19","12","2","5999.00","2023-10-27 00:00:00"
"62","19","27","2","69.00","2023-10-25 00:00:00"
"63","19","12","4","5999.00","2023-10-27 00:00:00"
"64","19","25","5","29.00","2023-10-25 00:00:00"
"65","19","17","1","2999.00","2023-10-26 00:00:00"
"66","20","13","4","6999.00","2023-03-25 00:00:00"
"67","20","20","2","129.00","2023-03-26 00:00:00"
"68","20","17","2","2999.00","2023-03-24 00:00:00"
"69","21","26","2","49.00","2023-06-25 00:00:00"
"70","21","10","2","8999.00","2023-06-27 00:00:00"
"71","21","7","2","59.00","2023-06-27 00:00:00"
"72","22","12","5","5999.00","2023-02-12 00:00:00"
"73","22","3","2","30.00","2023-02-13 00:00:00"
"74","23","16","4","3999.00","2023-06-03 00:00:00"
"75","23","4","3","69.00","2023-06-03 00:00:00"
"76","23","12","2","5999.00","2023-06-04 00:00:00"
"77","23","4","4","69.00","2023-06-03 00:00:00"
"78","23","11","5","699.00","2023-06-02 00:00:00"
"79","24","9","1","8999.00","2023-01-05 00:00:00"
"80","24","30","4","59.00","2023-01-06 00:00:00"
"81","24","28","3","19.00","2023-01-04 00:00:00"
"82","24","21","5","99.00","2023-01-05 00:00:00"
"83","25","22","3","129.00","2023-12-05 00:00:00"
"84","25","17","4","2999.00","2023-12-05 00:00:00"
"85","25","3","3","30.00","2023-12-04 00:00:00"
"86","25","30","4","59.00","2023-12-05 00:00:00"
"87","25","10","4","8999.00","2023-12-05 00:00:00"
"88","26","17","1","2999.00","2023-09-06 00:00:00"
"89","26","30","1","59.00","2023-09-05 00:00:00"
"90","26","21","5","99.00","2023-09-07 00:00:00"
"91","26","22","3","129.00","2023-09-06 00:00:00"
"92","27","16","2","3999.00","2023-01-04 00:00:00"
"93","27","17","2","2999.00","2023-01-05 00:00:00"
"94","27","28","2","19.00","2023-01-06 00:00:00"
"95","28","8","3","7999.00","2023-07-26 00:00:00"
"96","28","11","3","699.00","2023-07-28 00:00:00"
"97","29","19","5","799.00","2023-05-09 00:00:00"
"98","29","27","3","69.00","2023-05-10 00:00:00"
"99","29","29","5","19.00","2023-05-08 00:00:00"
"100","29","12","3","5999.00","2023-05-08 00:00:00"
"101","30","27","1","69.00","2023-04-16 00:00:00"
"102","30","3","1","30.00","2023-04-16 00:00:00"
"103","30","2","1","60.00","2023-04-16 00:00:00"
"104","30","1","3","81.00","2023-04-14 00:00:00"
"105","30","3","4","30.00","2023-04-15 00:00:00"
"106","31","4","3","69.00","2023-02-10 00:00:00"
"107","31","3","3","30.00","2023-02-10 00:00:00"
"108","31","27","5","69.00","2023-02-09 00:00:00"
"109","32","8","4","7999.00","2023-06-20 00:00:00"
"110","32","26","4","49.00","2023-06-18 00:00:00"
"111","32","13","5","6999.00","2023-06-20 00:00:00"
"112","33","18","1","299.00","2023-02-23 00:00:00"
"113","33","19","4","799.00","2023-02-23 00:00:00"
"114","33","10","5","8999.00","2023-02-23 00:00:00"
"115","33","10","4","8999.00","2023-02-23 00:00:00"
"116","33","20","1","129.00","2023-02-23 00:00:00"
"117","34","30","2","59.00","2023-03-30 00:00:00"
"118","34","14","5","499.00","2023-03-30 00:00:00"
"119","34","6","2","349.00","2023-03-29 00:00:00"
"120","35","16","5","3999.00","2023-09-08 00:00:00"
"121","35","4","3","69.00","2023-09-08 00:00:00"
"122","35","16","5","3999.00","2023-09-09 00:00:00"
"123","36","26","4","49.00","2023-10-22 00:00:00"
"124","36","11","1","699.00","2023-10-20 00:00:00"
"125","36","2","2","60.00","2023-10-20 00:00:00"
"126","36","25","4","29.00","2023-10-22 00:00:00"
"127","37","17","4","2999.00","2023-11-21 00:00:00"
"128","37","13","5","6999.00","2023-11-20 00:00:00"
"129","37","28","1","19.00","2023-11-19 00:00:00"
"130","37","3","3","30.00","2023-11-19 00:00:00"
"131","37","23","3","159.00","2023-11-19 00:00:00"
"132","38","2","4","60.00","2023-07-02 00:00:00"
"133","38","20","2","129.00","2023-07-04 00:00:00"
"134","38","27","3","69.00","2023-07-04 00:00:00"
"135","39","24","4","19.00","2023-10-23 00:00:00"
"136","39","4","3","69.00","2023-10-23 00:00:00"
"137","39","21","5","99.00","2023-10-22 00:00:00"
"138","39","1","2","81.00","2023-10-22 00:00:00"
"139","40","25","1","29.00","2023-06-25 00:00:00"
"140","40","12","4","5999.00","2023-06-26 00:00:00"
"141","41","18","3","299.00","2023-05-30 00:00:00"
"142","41","5","4","229.00","2023-05-30 00:00:00"
"143","41","27","1","69.00","2023-05-30 00:00:00"
"144","42","18","2","299.00","2023-02-14 00:00:00"
"145","42","10","2","8999.00","2023-02-14 00:00:00"
"146","42","22","5","129.00","2023-02-14 00:00:00"
"147","42","16","3","3999.00","2023-02-14 00:00:00"
"148","42","17","1","2999.00","2023-02-16 00:00:00"
"149","43","10","5","8999.00","2023-04-07 00:00:00"
"150","43","9","1","8999.00","2023-04-05 00:00:00"
"151","44","26","5","49.00","2023-08-11 00:00:00"
"152","44","22","2","129.00","2023-08-13 00:00:00"
"153","44","19","2","799.00","2023-08-12 00:00:00"
"154","44","21","5","99.00","2023-08-13 00:00:00"
"155","45","19","1","799.00","2023-01-19 00:00:00"
"156","45","24","5","19.00","2023-01-19 00:00:00"
"157","46","6","3","349.00","2023-03-05 00:00:00"
"158","46","26","1","49.00","2023-03-04 00:00:00"
"159","46","24","1","19.00","2023-03-04 00:00:00"
"160","46","2","4","60.00","2023-03-04 00:00:00"
"161","47","26","3","49.00","2023-08-19 00:00:00"
"162","47","22","1","129.00","2023-08-18 00:00:00"
"163","47","16","2","3999.00","2023-08-20 00:00:00"
"164","47","29","1","19.00","2023-08-18 00:00:00"
"165","48","17","4","2999.00","2023-03-26 00:00:00"
"166","48","8","2","7999.00","2023-03-26 00:00:00"
"167","49","16","3","3999.00","2023-09-26 00:00:00"
"168","49","14","1","499.00","2023-09-27 00:00:00"
"169","49","3","4","30.00","2023-09-26 00:00:00"
"170","49","7","5","59.00","2023-09-25 00:00:00"
"171","50","18","3","299.00","2023-12-30 00:00:00"
"172","50","18","3","299.00","2023-12-29 00:00:00"
"173","50","29","1","19.00","2023-12-29 00:00:00"
"174","51","7","4","59.00","2023-10-15 00:00:00"
"175","51","25","2","29.00","2023-10-15 00:00:00"
"176","51","27","3","69.00","2023-10-13 00:00:00"
"177","51","24","4","19.00","2023-10-14 00:00:00"
"178","52","1","3","81.00","2023-09-18 00:00:00"
"179","52","14","3","499.00","2023-09-18 00:00:00"
"180","53","10","5","8999.00","2023-12-21 00:00:00"
"181","53","8","2","7999.00","2023-12-20 00:00:00"
"182","53","21","4","99.00","2023-12-20 00:00:00"
"183","53","21","1","99.00","2023-12-20 00:00:00"
"184","53","6","2","349.00","2023-12-21 00:00:00"
"185","54","21","3","99.00","2023-02-17 00:00:00"
"186","54","12","1","5999.00","2023-02-16 00:00:00"
"187","54","20","5","129.00","2023-02-15 00:00:00"
"188","54","16","5","3999.00","2023-02-17 00:00:00"
"189","54","30","3","59.00","2023-02-15 00:00:00"
"190","55","8","5","7999.00","2023-06-23 00:00:00"
"191","55","20","5","129.00","2023-06-21 00:00:00"
"192","55","8","1","7999.00","2023-06-23 00:00:00"
"193","56","29","1","19.00","2023-09-29 00:00:00"
"194","56","26","2","49.00","2023-09-30 00:00:00"
"195","56","9","1","8999.00","2023-09-30 00:00:00"
"196","56","1","5","81.00","2023-09-29 00:00:00"
"197","56","22","5","129.00","2023-10-01 00:00:00"
"198","57","26","1","49.00","2023-03-06 00:00:00"
"199","57","29","4","19.00","2023-03-06 00:00:00"
"200","57","29","5","19.00","2023-03-06 00:00:00"
"201","58","7","2","59.00","2023-04-21 00:00:00"
"202","58","30","4","59.00","2023-04-20 00:00:00"
"203","58","26","5","49.00","2023-04-21 00:00:00"
"204","58","21","5","99.00","2023-04-22 00:00:00"
"205","59","3","1","30.00","2023-08-26 00:00:00"
"206","59","5","3","229.00","2023-08-27 00:00:00"
"207","59","16","5","3999.00","2023-08-26 00:00:00"
"208","59","10","1","8999.00","2023-08-28 00:00:00"
"209","60","7","4","59.00","2023-09-29 00:00:00"
"210","60","14","2","499.00","2023-09-27 00:00:00"
"211","60","9","2","8999.00","2023-09-27 00:00:00"
"212","61","2","1","60.00","2023-01-17 00:00:00"
"213","61","16","5","3999.00","2023-01-16 00:00:00"
"214","61","2","2","60.00","2023-01-15 00:00:00"
"215","61","17","2","2999.00","2023-01-15 00:00:00"
"216","61","11","2","699.00","2023-01-15 00:00:00"
"217","62","25","3","29.00","2023-02-28 00:00:00"
"218","62","5","5","229.00","2023-03-01 00:00:00"
"219","62","30","4","59.00","2023-03-01 00:00:00"
"220","62","17","2","2999.00","2023-03-01 00:00:00"
"221","62","6","3","349.00","2023-02-28 00:00:00"
"222","63","1","2","81.00","2023-06-23 00:00:00"
"223","63","20","1","129.00","2023-06-22 00:00:00"
"224","63","2","5","60.00","2023-06-23 00:00:00"
"225","63","10","2","8999.00","2023-06-22 00:00:00"
"226","64","15","4","699.00","2023-10-02 00:00:00"
"227","64","16","5","3999.00","2023-10-02 00:00:00"
"228","64","18","5","299.00","2023-10-04 00:00:00"
"229","64","10","1","8999.00","2023-10-03 00:00:00"
"230","65","26","5","49.00","2023-11-19 00:00:00"
"231","65","22","4","129.00","2023-11-17 00:00:00"
"232","65","25","2","29.00","2023-11-17 00:00:00"
"233","65","21","3","99.00","2023-11-19 00:00:00"
"234","66","11","3","699.00","2023-01-08 00:00:00"
"235","66","12","5","5999.00","2023-01-08 00:00:00"
"236","66","5","1","229.00","2023-01-06 00:00:00"
"237","66","4","2","69.00","2023-01-08 00:00:00"
"238","67","19","5","799.00","2023-06-11 00:00:00"
"239","67","15","4","699.00","2023-06-11 00:00:00"
"240","67","4","2","69.00","2023-06-12 00:00:00"
"241","67","15","4","699.00","2023-06-11 00:00:00"
"242","67","24","5","19.00","2023-06-13 00:00:00"
"243","68","20","5","129.00","2023-07-28 00:00:00"
"244","68","2","1","60.00","2023-07-28 00:00:00"
"245","68","13","2","6999.00","2023-07-28 00:00:00"
"246","69","2","1","60.00","2023-12-06 00:00:00"
"247","69","12","1","5999.00","2023-12-07 00:00:00"
"248","69","21","2","99.00","2023-12-07 00:00:00"
"249","70","30","3","59.00","2023-04-15 00:00:00"
"250","70","23","2","159.00","2023-04-15 00:00:00"
"251","71","1","4","81.00","2023-11-14 00:00:00"
"252","71","8","3","7999.00","2023-11-12 00:00:00"
"253","71","20","5","129.00","2023-11-14 00:00:00"
"254","72","14","1","499.00","2023-07-17 00:00:00"
"255","72","11","4","699.00","2023-07-17 00:00:00"
"256","72","8","4","7999.00","2023-07-16 00:00:00"
"257","73","23","1","159.00","2023-08-01 00:00:00"
"258","73","15","4","699.00","2023-07-30 00:00:00"
"259","73","18","5","299.00","2023-07-31 00:00:00"
"260","73","17","2","2999.00","2023-07-31 00:00:00"
"261","74","30","4","59.00","2023-11-09 00:00:00"
"262","74","19","2","799.00","2023-11-09 00:00:00"
"263","74","28","5","19.00","2023-11-10 00:00:00"
"264","74","24","2","19.00","2023-11-09 00:00:00"
"265","74","11","5","699.00","2023-11-09 00:00:00"
