"order_id","user_id","total_amount","create_time","update_time"
"1","1","20630.00","2023-09-04 00:00:00","2023-09-16 00:00:00"
"2","1","2799.00","2023-03-31 00:00:00","2023-04-16 00:00:00"
"3","1","3278.00","2023-08-19 00:00:00","2023-09-11 00:00:00"
"4","1","62294.00","2023-09-14 00:00:00","2023-10-02 00:00:00"
"5","1","2826.00","2023-01-11 00:00:00","2023-01-18 00:00:00"
"6","1","40082.00","2023-10-16 00:00:00","2023-11-02 00:00:00"
"7","1","843.00","2023-05-29 00:00:00","2023-06-08 00:00:00"
"8","1","45090.00","2023-01-30 00:00:00","2023-02-16 00:00:00"
"9","1","5397.00","2023-04-08 00:00:00","2023-04-24 00:00:00"
"10","1","39491.00","2023-09-11 00:00:00","2023-09-12 00:00:00"
"11","1","614.00","2023-12-23 00:00:00","2023-12-24 00:00:00"
"12","1","18582.00","2023-12-30 00:00:00","2024-01-01 00:00:00"
"13","1","3948.00","2023-01-06 00:00:00","2023-01-11 00:00:00"
"14","1","3090.00","2023-04-13 00:00:00","2023-05-08 00:00:00"
"15","1","45326.00","2023-07-23 00:00:00","2023-07-25 00:00:00"
"16","1","8432.00","2023-06-27 00:00:00","2023-07-17 00:00:00"
"17","1","39783.00","2023-04-03 00:00:00","2023-04-28 00:00:00"
"18","1","1447.00","2023-11-07 00:00:00","2023-11-28 00:00:00"
"19","1","39276.00","2023-10-25 00:00:00","2023-11-06 00:00:00"
"20","1","34252.00","2023-03-24 00:00:00","2023-04-06 00:00:00"
"21","1","18214.00","2023-06-25 00:00:00","2023-07-07 00:00:00"
"22","1","30055.00","2023-02-12 00:00:00","2023-03-09 00:00:00"
"23","1","31972.00","2023-06-02 00:00:00","2023-06-23 00:00:00"
"24","1","9787.00","2023-01-04 00:00:00","2023-01-07 00:00:00"
"25","1","48705.00","2023-12-04 00:00:00","2023-12-13 00:00:00"
"26","1","3940.00","2023-09-05 00:00:00","2023-09-11 00:00:00"
"27","1","14034.00","2023-01-04 00:00:00","2023-01-08 00:00:00"
"28","1","26094.00","2023-07-26 00:00:00","2023-07-29 00:00:00"
"29","1","22294.00","2023-05-08 00:00:00","2023-05-23 00:00:00"
"30","1","522.00","2023-04-14 00:00:00","2023-05-02 00:00:00"
"31","1","642.00","2023-02-09 00:00:00","2023-02-28 00:00:00"
"32","1","67187.00","2023-06-18 00:00:00","2023-07-05 00:00:00"
"33","1","84615.00","2023-02-23 00:00:00","2023-03-17 00:00:00"
"34","1","3311.00","2023-03-29 00:00:00","2023-04-13 00:00:00"
"35","1","40197.00","2023-09-07 00:00:00","2023-09-10 00:00:00"
"36","1","1131.00","2023-10-20 00:00:00","2023-10-29 00:00:00"
"37","1","47577.00","2023-11-19 00:00:00","2023-11-28 00:00:00"
"38","1","705.00","2023-07-02 00:00:00","2023-07-15 00:00:00"
"39","1","940.00","2023-10-21 00:00:00","2023-10-26 00:00:00"
"40","1","24025.00","2023-06-25 00:00:00","2023-07-07 00:00:00"
"41","1","1882.00","2023-05-30 00:00:00","2023-06-12 00:00:00"
"42","1","34237.00","2023-02-14 00:00:00","2023-03-03 00:00:00"
"43","1","53994.00","2023-04-05 00:00:00","2023-04-25 00:00:00"
"44","1","2596.00","2023-08-11 00:00:00","2023-08-25 00:00:00"
"45","1","894.00","2023-01-19 00:00:00","2023-02-05 00:00:00"
"46","1","1355.00","2023-03-04 00:00:00","2023-03-22 00:00:00"
"47","1","8293.00","2023-08-18 00:00:00","2023-08-25 00:00:00"
"48","1","27994.00","2023-03-26 00:00:00","2023-04-22 00:00:00"
"49","1","12911.00","2023-09-25 00:00:00","2023-09-28 00:00:00"
"50","1","1813.00","2023-12-28 00:00:00","2023-12-30 00:00:00"
"51","1","577.00","2023-10-13 00:00:00","2023-11-03 00:00:00"
"52","1","1740.00","2023-09-16 00:00:00","2023-09-16 00:00:00"
"53","1","62186.00","2023-12-20 00:00:00","2024-01-15 00:00:00"
"54","1","27113.00","2023-02-15 00:00:00","2023-02-21 00:00:00"
"55","1","48639.00","2023-06-21 00:00:00","2023-07-20 00:00:00"
"56","1","10166.00","2023-09-29 00:00:00","2023-10-07 00:00:00"
"57","1","220.00","2023-03-06 00:00:00","2023-04-04 00:00:00"
"58","1","1094.00","2023-04-20 00:00:00","2023-04-25 00:00:00"
"59","1","29711.00","2023-08-26 00:00:00","2023-09-21 00:00:00"
"60","1","19232.00","2023-09-27 00:00:00","2023-10-07 00:00:00"
"61","1","27571.00","2023-01-15 00:00:00","2023-02-12 00:00:00"
"62","1","8513.00","2023-02-28 00:00:00","2023-03-29 00:00:00"
"63","1","18589.00","2023-06-22 00:00:00","2023-07-20 00:00:00"
"64","1","33285.00","2023-10-02 00:00:00","2023-10-13 00:00:00"
"65","1","1116.00","2023-11-17 00:00:00","2023-11-29 00:00:00"
"66","1","32459.00","2023-01-06 00:00:00","2023-02-01 00:00:00"
"67","1","9820.00","2023-06-11 00:00:00","2023-06-11 00:00:00"
"68","1","14703.00","2023-07-26 00:00:00","2023-08-13 00:00:00"
"69","1","6257.00","2023-12-05 00:00:00","2023-12-09 00:00:00"
"70","1","495.00","2023-04-13 00:00:00","2023-05-10 00:00:00"
"71","1","24966.00","2023-11-12 00:00:00","2023-12-08 00:00:00"
"72","1","35291.00","2023-07-16 00:00:00","2023-08-14 00:00:00"
"73","1","10448.00","2023-07-30 00:00:00","2023-07-30 00:00:00"
"74","1","5462.00","2023-11-08 00:00:00","2023-11-15 00:00:00"
"75","1","2523.00","2023-10-20 00:00:00","2023-11-12 00:00:00"
"76","1","8251.00","2023-06-22 00:00:00","2023-07-05 00:00:00"
"77","1","1393.00","2023-11-23 00:00:00","2023-12-17 00:00:00"
"78","1","15696.00","2023-07-26 00:00:00","2023-08-08 00:00:00"
"79","1","19487.00","2023-06-12 00:00:00","2023-07-11 00:00:00"
"80","1","48.00","2023-01-11 00:00:00","2023-01-13 00:00:00"
"81","1","3962.00","2023-12-19 00:00:00","2023-12-25 00:00:00"
"82","1","21441.00","2023-10-26 00:00:00","2023-11-15 00:00:00"
"83","1","2298.00","2023-05-30 00:00:00","2023-06-24 00:00:00"
"84","1","6062.00","2023-07-11 00:00:00","2023-07-18 00:00:00"
"85","1","15910.00","2023-07-19 00:00:00","2023-08-06 00:00:00"
"86","1","1117.00","2023-05-26 00:00:00","2023-06-19 00:00:00"
"87","1","47527.00","2023-01-25 00:00:00","2023-01-28 00:00:00"
"88","1","4157.00","2023-05-10 00:00:00","2023-05-25 00:00:00"
"89","1","61730.00","2023-08-11 00:00:00","2023-08-27 00:00:00"
"90","1","18532.00","2023-08-25 00:00:00","2023-08-29 00:00:00"
"91","1","19337.00","2023-04-07 00:00:00","2023-04-22 00:00:00"
"92","1","24548.00","2023-07-14 00:00:00","2023-08-05 00:00:00"
"93","1","20033.00","2023-12-11 00:00:00","2023-12-21 00:00:00"
"94","1","15476.00","2023-06-23 00:00:00","2023-07-10 00:00:00"
"95","1","44747.00","2023-01-07 00:00:00","2023-01-20 00:00:00"
"96","1","3117.00","2023-09-16 00:00:00","2023-10-09 00:00:00"
"97","1","65633.00","2023-07-21 00:00:00","2023-08-10 00:00:00"
"98","1","77167.00","2023-01-08 00:00:00","2023-01-30 00:00:00"
"99","1","20994.00","2023-05-13 00:00:00","2023-05-28 00:00:00"
"100","1","9673.00","2023-03-20 00:00:00","2023-03-20 00:00:00"
"101","2","30377.00","2023-04-13 00:00:00","2023-04-14 00:00:00"
"102","2","58748.00","2023-11-16 00:00:00","2023-11-29 00:00:00"
"103","2","36690.00","2023-06-02 00:00:00","2023-06-06 00:00:00"
"104","2","1056.00","2023-04-29 00:00:00","2023-05-05 00:00:00"
"105","2","18096.00","2023-04-27 00:00:00","2023-05-05 00:00:00"
"106","2","15295.00","2023-11-09 00:00:00","2023-12-04 00:00:00"
"107","2","13464.00","2023-10-24 00:00:00","2023-11-14 00:00:00"
"108","2","4413.00","2023-10-21 00:00:00","2023-10-30 00:00:00"
"109","2","32993.00","2023-07-23 00:00:00","2023-07-29 00:00:00"
"110","2","46032.00","2023-06-23 00:00:00","2023-07-01 00:00:00"
"111","2","43995.00","2023-09-09 00:00:00","2023-10-05 00:00:00"
"112","2","45202.00","2023-05-01 00:00:00","2023-05-25 00:00:00"
"113","2","9372.00","2023-04-03 00:00:00","2023-04-11 00:00:00"
"114","2","8171.00","2023-11-01 00:00:00","2023-11-01 00:00:00"
"115","2","2893.00","2023-12-26 00:00:00","2024-01-09 00:00:00"
"116","2","40789.00","2023-02-13 00:00:00","2023-02-15 00:00:00"
"117","2","3462.00","2023-01-02 00:00:00","2023-01-07 00:00:00"
"118","2","821.00","2023-10-19 00:00:00","2023-11-05 00:00:00"
"119","2","51996.00","2023-02-09 00:00:00","2023-03-05 00:00:00"
"120","2","3476.00","2023-02-15 00:00:00","2023-02-28 00:00:00"
"121","2","476.00","2023-10-17 00:00:00","2023-10-26 00:00:00"
"122","2","29053.00","2023-09-29 00:00:00","2023-10-08 00:00:00"
"123","2","21292.00","2023-12-13 00:00:00","2023-12-27 00:00:00"
"124","2","319.00","2023-01-28 00:00:00","2023-02-12 00:00:00"
"125","2","1439.00","2023-11-07 00:00:00","2023-12-05 00:00:00"
"126","2","17155.00","2023-07-16 00:00:00","2023-08-12 00:00:00"
"127","2","425.00","2023-08-09 00:00:00","2023-08-29 00:00:00"
"128","2","37211.00","2023-10-15 00:00:00","2023-10-29 00:00:00"
"129","2","2210.00","2023-05-24 00:00:00","2023-06-10 00:00:00"
"130","2","32153.00","2023-05-07 00:00:00","2023-05-30 00:00:00"
"131","2","54993.00","2023-11-10 00:00:00","2023-11-20 00:00:00"
"132","2","38099.00","2023-09-01 00:00:00","2023-09-02 00:00:00"
"133","2","808.00","2023-11-21 00:00:00","2023-12-07 00:00:00"
"134","2","19696.00","2023-01-30 00:00:00","2023-02-15 00:00:00"
"135","2","7859.00","2023-09-08 00:00:00","2023-09-17 00:00:00"
"136","2","1392.00","2023-06-08 00:00:00","2023-06-17 00:00:00"
"137","2","4602.00","2023-05-11 00:00:00","2023-05-11 00:00:00"
"138","2","24173.00","2023-03-08 00:00:00","2023-03-23 00:00:00"
"139","2","54189.00","2023-08-11 00:00:00","2023-09-02 00:00:00"
"140","2","5231.00","2023-02-15 00:00:00","2023-02-19 00:00:00"
"141","2","7639.00","2023-06-13 00:00:00","2023-07-09 00:00:00"
"142","2","819.00","2023-10-22 00:00:00","2023-11-06 00:00:00"
"143","2","27944.00","2023-11-10 00:00:00","2023-12-02 00:00:00"
"144","2","1914.00","2023-03-27 00:00:00","2023-04-18 00:00:00"
"145","2","36260.00","2023-10-30 00:00:00","2023-11-23 00:00:00"
"146","2","11645.00","2023-08-19 00:00:00","2023-08-30 00:00:00"
"147","2","13714.00","2023-01-01 00:00:00","2023-01-23 00:00:00"
"148","2","607.00","2023-04-16 00:00:00","2023-04-22 00:00:00"
"149","2","1392.00","2023-01-20 00:00:00","2023-02-06 00:00:00"
"150","2","8196.00","2023-11-19 00:00:00","2023-12-15 00:00:00"
"151","2","31991.00","2023-04-07 00:00:00","2023-04-13 00:00:00"
"152","2","2524.00","2023-11-26 00:00:00","2023-12-01 00:00:00"
"153","2","25698.00","2023-08-31 00:00:00","2023-09-03 00:00:00"
"154","2","5937.00","2023-01-02 00:00:00","2023-01-06 00:00:00"
"155","2","315.00","2023-08-02 00:00:00","2023-08-13 00:00:00"
"156","2","2992.00","2023-04-25 00:00:00","2023-05-11 00:00:00"
"157","2","1863.00","2023-04-06 00:00:00","2023-04-20 00:00:00"
"158","2","37115.00","2023-09-30 00:00:00","2023-10-03 00:00:00"
"159","2","25579.00","2023-05-06 00:00:00","2023-05-08 00:00:00"
"160","2","2784.00","2023-12-02 00:00:00","2023-12-21 00:00:00"
